anorak~pullover|camisole
anorexia~bulimia|memory loss
anorexic~infertile|headstrong
another~other|next
answer~response|explanation|respond|reply
answerable~accountable|beholden
answering~all-in-one|ringing
ant~insect|fire ant|computer-animated|penal
antacid~antihistamine|acetaminophen
antagonism~animosity|enmity
antagonist~adversary|foe
antagonistic~hostile|adversarial
antagonize~alienate|placate
ante~borrowing cost|key rate
antebellum~palatial|Victorian
antecedent~forebear|accoutrement
antelope~deer|yak
antenna~transmitter|sensor
antennae~remotes|antenna
anthem~national anthem|Star-Spangled Banner
anthrax~smallpox|measles
anthropological~archaeological|archeological
anthropologist~paleontologist|sociologist
anthropology~sociology|political science
anthropomorphic~hairless|larger-than-life
anti~anti-communist|unexamined
antiabortion~anti-abortion|pro-life
antibiotic~medication|AZT|anti-AIDS|anti-cancer
antibody~enzyme|protein
antic~behavior|humor|mordant|deadpan
anticipate~predict|forecast
anticipated~expected|much-anticipated
anticipation~wake|excitement
anticlimactic~bittersweet|presumptuous
anticlimax~unreality|invincibility
anticompetitive~anti-competitive|monopolistic
antidote~corrective|cure
antidrug~anti-drug|anti-narcotics
antifreeze~electrolyte|p@@
antigen~PSA|enzyme
antihero~superheroes|heroine
antihistamine~antacid|acetaminophen
antioxidant~vitamin E|vitamin C
antipathy~animosity|animus
antiquate~disorganize|convolute
antiquated~outdated|outmoded
antique~furniture|collectibles|handmade|one-of-a-kind
antiquity~artifact|antique
antiseptic~ointment|antihistamine|impersonal|nebulous
antismoking~anti-smoking|anti-tobacco
antisocial~short-tempered|self-destructive
antitank~unexploded|anti-aircraft
antithesis~embodiment|epitome
antithetical~inimical|repugnant
antitrust~anti-dumping|class-action
antivirus~biomedical|open-source
antiwar~anti-war|anti-nuclear
antler~hunting season|Kashima
antsy~picky|timid
anvil~malathion|DDT
anxiety~fear|nervousness
anxious~eager|nervous
anxiously~nervously|eagerly
anybody~anyone|everybody
anyhow~anyway|right then
anymore~all the time|anyway
anyone~anybody|everyone
anyplace~someplace|Circulating
anything~nothing|something
anytime~everytime|til
anyway~anymore|all the time
